Date/Time,Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly) 
 01/08  09:00:00,955071992.139529,97266482.5615077,21592146.7968761,18359994.17285,23790906.3065032,21478349.6775651,0.0,11851203.9784796,955071992.139529 
 01/08  10:00:00,587924256.997542,100367903.402792,21592146.7968761,18359994.17285,17943404.6104407,26623124.8390235,0.0,15593551.493726,587924256.997542 
 01/08  11:00:00,398244127.795319,80752526.1496006,21592146.7968761,18359994.17285,16675981.8502377,16245249.9219902,0.0,7752463.57327754,398244127.795319 
 01/08  12:00:00,324446602.745623,77630426.8021524,21592146.7968761,18359994.17285,16075284.9910001,13743081.2261377,0.0,7732049.95517331,324446602.745623 
 01/08  13:00:00,287943103.06986,56460025.2806001,21592146.7968761,18359994.17285,16010283.3585791,497600.95229498,0.0,0.0,287943103.06986 
 01/08  14:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  15:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  16:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  17:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  18:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  19:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/08  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  06:00:00,1532391653.19047,109730292.383887,21592146.7968761,18359994.17285,55439708.5648387,11348678.6585382,0.0,2942576.39122016,1532391653.19047 
 01/09  07:00:00,1397441894.29899,266036172.392986,97164660.5859424,107999965.722647,53576857.3308254,6773094.64996689,0.0,514712.236481181,1397441894.29899 
 01/09  08:00:00,1060837562.15275,243650788.947569,97164660.5859424,107999965.722647,32546390.708973,5939771.93000668,0.0,0.0,1060837562.15275 
 01/09  09:00:00,511485109.919842,229508633.010865,97164660.5859424,107999965.722647,18507500.2526852,5836506.4495906,0.0,0.0,511485109.919842 
 01/09  10:00:00,294914116.43483,227591107.66286,97164660.5859424,107999965.722647,16988995.9342285,4458730.60690097,0.0,964561.248969582,294914116.43483 
 01/09  11:00:00,198101900.150323,222730038.312665,97164660.5859424,107999965.722647,17316837.6895619,248574.314513416,0.0,0.0,198101900.150323 
 01/09  12:00:00,136969738.988263,223006695.546215,97164660.5859424,107999965.722647,17689013.8565726,153055.381053091,0.0,0.0,136969738.988263 
 01/09  13:00:00,86671310.7213085,232686628.704345,97164660.5859424,107999965.722647,18355043.9057887,5252150.08463796,0.0,3857694.4094643,86671310.7213085 
 01/09  14:00:00,29611684.5993548,246371467.414508,97164660.5859424,107999965.722647,18498667.32666,12925807.6215587,0.0,9639919.83057942,29611684.5993548 
 01/09  15:00:00,5964.97819558138,242378884.766779,97164660.5859424,107999965.722647,19055607.6766381,10315507.0893451,0.0,7729267.66707948,5964.97819558138 
 01/09  16:00:00,0.0,241886737.76397,97164660.5859424,107999965.722647,18565262.7856843,10315550.5800094,0.0,7724835.95248365,0.0 
 01/09  17:00:00,94748.3317283987,241709582.745491,97164660.5859424,107999965.722647,18390051.8122932,10315446.3125127,0.0,7725257.4242181,94748.3317283987 
 01/09  18:00:00,0.0,250354239.875831,97164660.5859424,107999965.722647,17981900.6044475,15472190.9674011,0.0,11567425.9061443,0.0 
 01/09  19:00:00,14079956.3190852,57426260.8795309,21592146.7968761,18359994.17285,16248458.3947254,704115.936880456,0.0,514114.948601721,14079956.3190852 
 01/09  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/09  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  06:00:00,1494403975.66493,107081007.909418,21592146.7968761,18359994.17285,53670419.2577317,10791161.6712865,0.0,2626470.48435867,1494403975.66493 
 01/10  07:00:00,1390893765.3851,266156766.756721,97164660.5859424,107999965.722647,54310713.0087392,6419628.86058959,0.0,258365.381039773,1390893765.3851 
 01/10  08:00:00,1044109704.9826,245672511.865273,97164660.5859424,107999965.722647,32299681.6768563,7230017.92979514,0.0,965454.89249017,1044109704.9826 
 01/10  09:00:00,506039516.011168,229563802.93909,97164660.5859424,107999965.722647,18545777.3090018,5853399.32149935,0.0,0.0,506039516.011168 
 01/10  10:00:00,292537003.858784,232193084.698432,97164660.5859424,107999965.722647,17065187.2153664,7029563.48349273,0.0,2892738.37351932,292537003.858784 
 01/10  11:00:00,197875219.598899,228528207.155128,97164660.5859424,107999965.722647,17446339.2329176,3471660.12036526,0.0,2410930.44363522,197875219.598899 
 01/10  12:00:00,130715291.482537,223439530.440953,97164660.5859424,107999965.722647,18129323.9512992,145580.181064762,0.0,0.0,130715291.482537 
 01/10  13:00:00,67307376.0260248,223542729.958491,97164660.5859424,107999965.722647,18304846.3454593,73257.3044423951,0.0,0.0,67307376.0260248 
 01/10  14:00:00,15589195.4654121,223635480.408052,97164660.5859424,107999965.722647,18453900.5379728,16953.5614899446,0.0,0.0,15589195.4654121 
 01/10  15:00:00,13632.0708989996,223718903.762496,97164660.5859424,107999965.722647,18554263.0026796,14.451227369848,0.0,0.0,13632.0708989996 
 01/10  16:00:00,0.0,259896134.468558,97164660.5859424,107999965.722647,18449952.8354392,20629672.4254732,0.0,15425407.4492603,0.0 
 01/10  17:00:00,115256.641985555,241670537.601577,97164660.5859424,107999965.722647,18352710.8437877,10315341.1922516,0.0,7722126.62809053,115256.641985555 
 01/10  18:00:00,0.0,250369677.735032,97164660.5859424,107999965.722647,17993921.3591311,15472181.7680469,0.0,11567204.7412469,0.0 
 01/10  19:00:00,30934055.6792938,56852875.9546237,21592146.7968761,18359994.17285,16261503.4582693,378452.208056301,0.0,256979.202180712,30934055.6792938 
 01/10  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/10  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  06:00:00,1477143641.17893,106530371.142511,21592146.7968761,18359994.17285,53357611.5351156,10559395.8413394,0.0,2619366.22546278,1477143641.17893 
 01/11  07:00:00,1376194736.82161,267337630.732559,97164660.5859424,107999965.722647,54302910.6069114,7084537.09835653,0.0,774751.89434027,1376194736.82161 
 01/11  08:00:00,997134802.977308,251540614.776368,97164660.5859424,107999965.722647,31295420.0866175,11077011.0171512,0.0,3946900.29447613,997134802.977308 
 01/11  09:00:00,486284164.554405,256705138.63502,97164660.5859424,107999965.722647,18347861.6970493,21316254.8559577,0.0,11709252.5018478,486284164.554405 
 01/11  10:00:00,289939001.278238,243593858.590459,97164660.5859424,107999965.722647,17092123.7288588,13473280.0677352,0.0,7754478.842477,289939001.278238 
 01/11  11:00:00,207584815.603177,223801970.394634,97164660.5859424,107999965.722647,17238198.4218496,910616.570436142,0.0,481833.620287463,207584815.603177 
 01/11  12:00:00,155664002.606021,226706328.182769,97164660.5859424,107999965.722647,18416038.7754957,1853891.44559097,0.0,1254048.11549926,155664002.606021 
 01/11  13:00:00,102823785.935494,224715861.312173,97164660.5859424,107999965.722647,19438641.4363941,112593.567189737,0.0,0.0,102823785.935494 
 01/11  14:00:00,30169950.0399614,227345433.696052,97164660.5859424,107999965.722647,19880229.5499116,1322177.02196625,0.0,964278.12753352,30169950.0399614 
 01/11  15:00:00,13964.1744218956,243213628.067526,97164660.5859424,107999965.722647,19894930.4323963,10315333.732297,0.0,7724903.17714881,13964.1744218956 
 01/11  16:00:00,0.0,260911380.772596,97164660.5859424,107999965.722647,19452578.7962335,20630003.8708509,0.0,15433860.6694178,0.0 
 01/11  17:00:00,0.0,233272902.373593,97164660.5859424,107999965.722647,19029306.965865,5157701.51989632,0.0,3863440.96407635,0.0 
 01/11  18:00:00,0.0,232432934.82517,97164660.5859424,107999965.722647,18197100.0288421,5157489.26434661,0.0,3858080.49192274,0.0 
 01/11  19:00:00,10589338.4513718,57395248.6804865,21592146.7968761,18359994.17285,16297312.0107116,657142.084971602,0.0,481744.430891971,10589338.4513718 
 01/11  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/11  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  06:00:00,1498333246.46508,107248701.367136,21592146.7968761,18359994.17285,53803674.4486496,10824199.0631218,0.0,2628592.8092475,1498333246.46508 
 01/12  07:00:00,1394355724.03622,267489871.026588,97164660.5859424,107999965.722647,54424665.189229,7116976.8126738,0.0,773588.884092867,1394355724.03622 
 01/12  08:00:00,1047489188.92125,245808474.759899,97164660.5859424,107999965.722647,32435894.1286126,7229670.7865572,0.0,965512.235772785,1047489188.92125 
 01/12  09:00:00,510038024.734116,229608900.132714,97164660.5859424,107999965.722647,18589931.4704593,5854342.35366532,0.0,0.0,510038024.734116 
 01/12  10:00:00,297153327.112673,230496397.54378,97164660.5859424,107999965.722647,17612773.3176608,5761317.66667497,0.0,1929995.80978358,297153327.112673 
 01/12  11:00:00,201133844.351114,224327214.250997,97164660.5859424,107999965.722647,18907926.42508,254661.517327585,0.0,0.0,201133844.351114 
