Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 03/13  01:00:00,111384680.993528,91798000.8398408,111384680.993528,4920199.48168629,79576634.0575541,5398036.69921902,86399964.1406218,4920199.48168629,275478.512000944,0.0,0.0,79576634.0575541 
 03/13  02:00:00,111386094.96269,91798000.8398408,111386094.96269,4920199.48168629,80194665.4662597,5398036.69921902,86399964.1406218,4920199.48168629,276892.481162986,0.0,0.0,80194665.4662597 
 03/13  03:00:00,109660380.52023,91798000.8398408,109660380.52023,3280132.98779086,56095613.1160437,5398036.69921902,86399964.1406218,3280132.98779086,191244.532598419,0.0,0.0,56095613.1160437 
 03/13  04:00:00,111407193.98325,91798000.8398408,111407193.98325,4920199.48168629,88028607.8334528,5398036.69921902,86399964.1406218,4920199.48168629,297991.501722649,0.0,0.0,88028607.8334528 
 03/13  05:00:00,117155903.635399,97196037.5390598,117155903.635399,4920199.48168629,140794188.303302,10796073.398438,86399964.1406218,4920199.48168629,648664.454653248,0.0,0.0,140794188.303302 
 03/13  06:00:00,119011842.809669,97196037.5390598,119011842.809669,6560265.97558172,187642311.543298,10796073.398438,86399964.1406218,6560265.97558172,864537.135027345,0.0,0.0,187642311.543298 
 03/13  07:00:00,133415410.021094,118788184.335936,133415410.021094,6560265.97558172,189500549.298517,32388220.1953141,86399964.1406218,6560265.97558172,871458.629576054,0.0,0.0,189500549.298517 
 03/13  08:00:00,298928718.379426,291564579.902341,298928718.379426,6560265.97558172,182668900.558604,97164660.5859424,194399919.316399,6560265.97558172,803872.501503441,0.0,0.0,182668900.558604 
 03/13  09:00:00,298742180.96527,291564579.902341,298742180.96527,6560265.97558172,161633190.376467,97164660.5859424,194399919.316399,6560265.97558172,617335.087346606,0.0,0.0,161633190.376467 
 03/13  10:00:00,298713212.074452,291564579.902341,298713212.074452,6560265.97558172,145877147.041578,97164660.5859424,194399919.316399,6560265.97558172,588366.196529392,0.0,0.0,145877147.041578 
 03/13  11:00:00,298675227.846586,291564579.902341,298675227.846586,6560265.97558172,133498035.184951,97164660.5859424,194399919.316399,6560265.97558172,550381.968662654,0.0,0.0,133498035.184951 
 03/13  12:00:00,277030196.664561,269964588.867186,277030196.664561,6560265.97558172,123293727.204806,97164660.5859424,172799928.281244,6560265.97558172,505341.821793794,0.0,0.0,123293727.204806 
 03/13  13:00:00,298501009.828609,291564579.902341,298501009.828609,6560265.97558172,98005181.5137218,97164660.5859424,194399919.316399,6560265.97558172,376163.950685614,0.0,0.0,98005181.5137218 
 03/13  14:00:00,298451156.606894,291564579.902341,298451156.606894,6560265.97558172,79922766.0801031,97164660.5859424,194399919.316399,6560265.97558172,326310.728970516,0.0,0.0,79922766.0801031 
 03/13  15:00:00,298436961.098917,291564579.902341,298436961.098917,6560265.97558172,68200334.3638697,97164660.5859424,194399919.316399,6560265.97558172,312115.220993563,0.0,0.0,68200334.3638697 
 03/13  16:00:00,298431597.328869,291564579.902341,298431597.328869,6560265.97558172,63069132.995285,97164660.5859424,194399919.316399,6560265.97558172,306751.450946231,0.0,0.0,63069132.995285 
 03/13  17:00:00,168864532.258472,161980322.167967,168864532.258472,6560265.97558172,78077235.1813268,53980366.9921902,107999955.175777,6560265.97558172,323944.114922508,0.0,0.0,78077235.1813268 
 03/13  18:00:00,125744129.562499,118788184.335936,125744129.562499,6560265.97558172,92967391.8772638,32388220.1953141,86399964.1406218,6560265.97558172,395679.250981772,0.0,0.0,92967391.8772638 
 03/13  19:00:00,140069414.597546,118788184.335936,140069414.597546,6560265.97558172,83906184.6562428,32388220.1953141,86399964.1406218,6560265.97558172,329962.126028513,0.0,0.0,83906184.6562428 
 03/13  20:00:00,129284228.586269,107992110.937498,129284228.586269,6560265.97558172,91683089.9473967,21592146.7968761,86399964.1406218,6560265.97558172,340849.513189672,0.0,0.0,91683089.9473967 
 03/13  21:00:00,129290913.715033,107992110.937498,129290913.715033,6560265.97558172,95925698.5733803,21592146.7968761,86399964.1406218,6560265.97558172,347534.641953914,0.0,0.0,95925698.5733803 
 03/13  22:00:00,116773353.679259,97196037.5390598,116773353.679259,4920199.48168629,74999783.4926584,10796073.398438,86399964.1406218,4920199.48168629,266114.498513033,0.0,0.0,74999783.4926584 
 03/13  23:00:00,111388299.470057,91798000.8398408,111388299.470057,4920199.48168629,80422547.7158145,5398036.69921902,86399964.1406218,4920199.48168629,279096.988530113,0.0,0.0,80422547.7158145 
